TOKEN: [programa] => {sPrograma} - 2 : 9 
TOKEN: [test1] => {sIdentificador} - 2 : 15 
TOKEN: [;] => {sPonto_vitgula} - 2 : 15 
TOKEN: [var] => {sVar} - 4 : 4 
TOKEN: [a] => {sIdentificador} - 4 : 6 
TOKEN: [,] => {sVirgula} - 4 : 6 
TOKEN: [b] => {sIdentificador} - 4 : 8 
TOKEN: [,] => {sVirgula} - 4 : 8 
TOKEN: [c] => {sIdentificador} - 4 : 10 
TOKEN: [:] => {sDoispontos} - 4 : 11 
TOKEN: [inteiro] => {sInteiro} - 4 : 19 
TOKEN: [;] => {sPonto_vitgula} - 4 : 19 
TOKEN: [procedimento] => {sProcedimento} - 7 : 13 
TOKEN: [analisa1] => {sIdentificador} - 7 : 22 
TOKEN: [;] => {sPonto_vitgula} - 7 : 22 
TOKEN: [var] => {sVar} - 8 : 4 
TOKEN: [a] => {sIdentificador} - 8 : 6 
TOKEN: [,] => {sVirgula} - 8 : 6 
TOKEN: [x] => {sIdentificador} - 8 : 9 
TOKEN: [:] => {sDoispontos} - 8 : 10 
TOKEN: [inteiro] => {sInteiro} - 8 : 18 
TOKEN: [;] => {sPonto_vitgula} - 8 : 18 
TOKEN: [z] => {sIdentificador} - 9 : 9 
TOKEN: [:] => {sDoispontos} - 9 : 10 
TOKEN: [booleano] => {sBoolaeno} - 9 : 19 
TOKEN: [;] => {sPonto_vitgula} - 9 : 19 
TOKEN: [inicio] => {sInicio} - 10 : 7 
TOKEN: [se] => {sSe} - 11 : 5 
TOKEN: [x] => {sIdentificador} - 11 : 7 
TOKEN: [>] => {sMaior} - 11 : 8 
TOKEN: [1] => {sNumero} - 11 : 9 
TOKEN: [entao] => {sEntao} - 11 : 16 
TOKEN: [x] => {sIdentificador} - 12 : 8 
TOKEN: [:=] => {sAtribuicao} - 12 : 9 
TOKEN: [0] => {sNumero} - 12 : 12 
TOKEN: [;] => {sPonto_vitgula} - 12 : 12 
TOKEN: [enquanto] => {sEnquanto} - 14 : 11 
TOKEN: [(] => {sAbre_parenteses} - 14 : 12 
TOKEN: [a] => {sIdentificador} - 14 : 14 
TOKEN: [>] => {sMaior} - 14 : 16 
TOKEN: [89] => {sNumero} - 14 : 19 
TOKEN: [)] => {sFecha_parenteses} - 14 : 19 
TOKEN: [e] => {sE} - 14 : 22 
TOKEN: [(] => {sAbre_parenteses} - 14 : 23 
TOKEN: [a] => {sIdentificador} - 14 : 25 
TOKEN: [<=] => {sMenorig} - 14 : 26 
TOKEN: [1000] => {sNumero} - 14 : 32 
TOKEN: [)] => {sFecha_parenteses} - 14 : 32 
TOKEN: [faca] => {sFaca} - 15 : 7 
TOKEN: [inicio] => {sInicio} - 15 : 14 
TOKEN: [a] => {sIdentificador} - 16 : 13 
TOKEN: [:=] => {sAtribuicao} - 16 : 14 
TOKEN: [x] => {sIdentificador} - 16 : 17 
TOKEN: [+] => {sMais} - 16 : 17 
TOKEN: [z] => {sIdentificador} - 16 : 19 
TOKEN: [fim] => {sFim} - 17 : 11 
TOKEN: [;] => {sPonto_vitgula} - 17 : 11 
TOKEN: [escreva] => {sEscreva} - 18 : 10 
TOKEN: [(] => {sAbre_parenteses} - 18 : 10 
TOKEN: [a] => {sIdentificador} - 18 : 12 
TOKEN: [)] => {sFecha_parenteses} - 18 : 12 
TOKEN: [fim] => {sFim} - 19 : 4 
TOKEN: [;] => {sPonto_vitgula} - 19 : 4 
TOKEN: [inicio] => {sInicio} - 20 : 7 
TOKEN: [leia] => {sLeia} - 21 : 5 
TOKEN: [(] => {sAbre_parenteses} - 21 : 5 
TOKEN: [a] => {sIdentificador} - 21 : 7 
TOKEN: [)] => {sFecha_parenteses} - 21 : 7 
TOKEN: [fim] => {sFim} - 22 : 4 
TOKEN: [.] => {sPonto} - 22 : 5 
